Towar:Kod;Ilosc;NumerArkusza;NumerWArkuszu
0025882;1;1;1644171799;
0025888;1;1;1644171806;
0042481;1;1;1644173208;
0025888;1;2;1644177672;
0042402;1;2;1644177723;
0042404;1;2;1644177724;
0042405;1;2;1644177724;
0042406;1;2;1644177725;
0042407;1;2;1644177725;
0042408;1;2;1644177726;
0042409;1;2;1644177726;
0042410;1;2;1644177726;
0042411;1;2;1644177727;
0042412;1;2;1644177727;
0042413;1;2;1644177727;
0042414;1;2;1644177728;
0042415;1;2;1644177728;
0042416;1;2;1644177728;
0042417;1;2;1644177728;
0042418;1;2;1644177728;
0042419;1;2;1644177729;
0042420;1;2;1644177729;
0042421;1;2;1644177729;
0042422;1;2;1644177729;
0042424;1;2;1644177730;
0042425;1;2;1644177730;
0042426;1;2;1644177730;
0042427;1;2;1644177730;
0042400;1;2;1644177732;
0025882;1;2;1644177737;
0014700;1;2;1644177742;
0014701;1;2;1644177743;
0014703;1;2;1644177744;
0014704;1;2;1644177745;
0014705;1;2;1644177745;
0014706;1;2;1644177745;
0014707;1;2;1644177745;
0014708;1;2;1644177746;
0014709;1;2;1644177746;
0014710;1;2;1644177746;
0014711;1;2;1644177746;
0014712;1;2;1644177747;
0014713;1;2;1644177747;
0014714;1;2;1644177747;
0014715;1;2;1644177747;
0014716;1;2;1644177747;
0014717;1;2;1644177748;
0014718;1;2;1644177748;
0014719;1;2;1644177748;
0014702;1;2;1644177751;
0014720;1;2;1644177752;
0014721;1;2;1644177753;
0014723;1;2;1644177753;
0014724;1;2;1644177754;
0014722;1;2;1644177755;
0042400;1;2;1644177767;
0042404;1;2;1644177768;
0040201;1;2;1644177781;
0040202;1;2;1644177781;
0040203;1;2;1644177782;
0040204;1;2;1644177783;
0040205;1;2;1644177783;
0040206;1;2;1644177784;
0040207;1;2;1644177785;
0040208;1;2;1644177786;
0040209;1;2;1644177786;
0040210;1;2;1644177786;
0040211;1;2;1644177787;
0040212;1;2;1644177787;
0040213;1;2;1644177788;
0040214;1;2;1644177788;
0040215;1;2;1644177789;
0040216;1;2;1644177789;
0040217;1;2;1644177789;
0040218;1;2;1644177789;
0040219;1;2;1644177790;
0040220;1;2;1644177790;
0040221;1;2;1644177790;
0040222;1;2;1644177790;
0040223;1;2;1644177790;
0040224;1;2;1644177791;
0040200;1;2;1644177792;
0031800;1;2;1644177797;
0031801;1;2;1644177797;
0031803;1;2;1644177798;
0031804;1;2;1644177799;
0031805;1;2;1644177799;
0031806;1;2;1644177800;
0031807;1;2;1644177800;
0031810;1;2;1644177800;
0031815;1;2;1644177801;
0031816;1;2;1644177801;
0031817;1;2;1644177801;
0031818;1;2;1644177802;
0031820;1;2;1644177802;
0031821;1;2;1644177802;
0031822;1;2;1644177803;
0031826;1;2;1644177803;
0031827;1;2;1644177803;
0031828;1;2;1644177803;
0031829;1;2;1644177804;
0031830;1;2;1644177804;
0031831;1;2;1644177804;
0031832;1;2;1644177804;
0031833;1;2;1644177804;
0031835;1;2;1644177805;
0031802;1;2;1644177806;
0040201;1;2;1644177810;
0040202;1;2;1644177811;
0040203;1;2;1644177811;
0040204;1;2;1644177812;
0040205;1;2;1644177812;
0040206;1;2;1644177813;
0040207;1;2;1644177813;
0040208;1;2;1644177814;
0040209;1;2;1644177814;
0040210;1;2;1644177814;
0040211;1;2;1644177815;
0040212;1;2;1644177815;
0040213;1;2;1644177815;
0040214;1;2;1644177815;
0040215;1;2;1644177816;
0040216;1;2;1644177816;
0040217;1;2;1644177816;
0040218;1;2;1644177816;
0040219;1;2;1644177817;
0040220;1;2;1644177817;
0040221;1;2;1644177817;
0040222;1;2;1644177817;
0040223;1;2;1644177817;
0040224;1;2;1644177818;
0040200;1;2;1644177819;
0040201;1;2;1644177825;
0040202;1;2;1644177826;
0040203;1;2;1644177826;
0040204;1;2;1644177826;
0040205;1;2;1644177826;
0040206;1;2;1644177827;
0040207;1;2;1644177827;
0040208;1;2;1644177827;
0040209;1;2;1644177827;
0040210;1;2;1644177827;
0040211;1;2;1644177828;
0040212;1;2;1644177828;
0040213;1;2;1644177829;
0040214;1;2;1644177829;
0040215;1;2;1644177831;
0040216;1;2;1644177831;
0040217;1;2;1644177831;
0040218;1;2;1644177831;
0040219;1;2;1644177832;
0040220;1;2;1644177832;
0040221;1;2;1644177833;
0040222;1;2;1644177834;
0040223;1;2;1644177834;
0040224;1;2;1644177835;
0040200;1;2;1644177836;
0068401;1;2;1644177850;
0068402;1;2;1644177850;
0068403;1;2;1644177851;
0068404;1;2;1644177851;
0068405;1;2;1644177852;
0068406;1;2;1644177852;
0068407;1;2;1644177853;
0068408;1;2;1644177853;
0068409;1;2;1644177854;
0068410;1;2;1644177854;
0068411;1;2;1644177855;
0068412;1;2;1644177855;
0068413;1;2;1644177856;
0068414;1;2;1644177856;
0068415;1;2;1644177857;
0068416;1;2;1644177857;
0068417;1;2;1644177858;
0068418;1;2;1644177858;
0068419;1;2;1644177858;
0068420;1;2;1644177859;
0068421;1;2;1644177859;
0068422;1;2;1644177860;
0068423;1;2;1644177860;
0068424;1;2;1644177861;
0068400;1;2;1644177862;
0043901;1;2;1644177866;
0043902;1;2;1644177867;
0043903;1;2;1644177867;
0043904;1;2;1644177868;
0043905;1;2;1644177868;
0043900;1;2;1644177870;
0043906;1;2;1644177871;
0043907;1;2;1644177872;
0043909;1;2;1644177872;
0043910;1;2;1644177873;
0043911;1;2;1644177873;
0043912;1;2;1644177874;
0043913;1;2;1644177874;
0043914;1;2;1644177875;
0043915;1;2;1644177875;
0043916;1;2;1644177876;
0043917;1;2;1644177876;
0043918;1;2;1644177877;
0043919;1;2;1644177877;
0043920;1;2;1644177877;
0043921;1;2;1644177878;
0043922;1;2;1644177878;
0043923;1;2;1644177879;
0043924;1;2;1644177879;
0043908;1;2;1644177880;
0014701;1;2;1644177894;
0014702;1;2;1644177895;
0014703;1;2;1644177896;
0014704;1;2;1644177896;
0014705;1;2;1644177897;
0014706;1;2;1644177897;
0014707;1;2;1644177898;
0014708;1;2;1644177898;
0014709;1;2;1644177898;
0014710;1;2;1644177898;
0014711;1;2;1644177899;
0014712;1;2;1644177899;
0014713;1;2;1644177899;
0014714;1;2;1644177900;
0014715;1;2;1644177900;
0014716;1;2;1644177900;
0014717;1;2;1644177901;
0014718;1;2;1644177901;
0014719;1;2;1644177902;
0014720;1;2;1644177902;
0014721;1;2;1644177903;
0014722;1;2;1644177903;
0014723;1;2;1644177904;
0014724;1;2;1644177905;
0014700;1;2;1644177906;
0043801;1;2;1644177918;
0043802;1;2;1644177918;
0043803;1;2;1644177918;
0043804;1;2;1644177919;
0043805;1;2;1644177919;
0043806;1;2;1644177919;
0043807;1;2;1644177919;
0043808;1;2;1644177920;
0043809;1;2;1644177920;
0043810;1;2;1644177920;
0043811;1;2;1644177920;
0043812;1;2;1644177921;
0043813;1;2;1644177921;
0043814;1;2;1644177921;
0043815;1;2;1644177921;
0043816;1;2;1644177922;
0043817;1;2;1644177922;
0043819;1;2;1644177922;
0043820;1;2;1644177922;
0043821;1;2;1644177922;
0043822;1;2;1644177923;
0043823;1;2;1644177923;
0043824;1;2;1644177923;
0043825;1;2;1644177923;
0043800;1;2;1644177925;
0044001;1;2;1644177931;
0044002;1;2;1644177931;
0044003;1;2;1644177932;
0044004;1;2;1644177932;
0044005;1;2;1644177932;
0044006;1;2;1644177932;
0044007;1;2;1644177933;
0044008;1;2;1644177933;
0044009;1;2;1644177933;
0044010;1;2;1644177933;
0044011;1;2;1644177934;
0044012;1;2;1644177934;
0044013;1;2;1644177935;
0044014;1;2;1644177935;
0044015;1;2;1644177936;
0044016;1;2;1644177936;
0044017;1;2;1644177936;
0044018;1;2;1644177936;
0044019;1;2;1644177936;
0044020;1;2;1644177937;
0044021;1;2;1644177937;
0044023;1;2;1644177937;
0044024;1;2;1644177938;
0044025;1;2;1644177938;
0044000;1;2;1644177939;
0044094;1;2;1644177944;
0043701;1;2;1644177949;
0043702;1;2;1644177949;
0043703;1;2;1644177950;
0043704;1;2;1644177950;
0043705;1;2;1644177951;
0043706;1;2;1644177951;
0043707;1;2;1644177951;
0043708;1;2;1644177952;
0043709;1;2;1644177953;
0043710;1;2;1644177953;
0043711;1;2;1644177953;
0043712;1;2;1644177954;
0043713;1;2;1644177954;
0043714;1;2;1644177954;
0043715;1;2;1644177955;
0043716;1;2;1644177955;
0043717;1;2;1644177956;
0043718;1;2;1644177956;
0043719;1;2;1644177957;
0043720;1;2;1644177957;
0043721;1;2;1644177958;
0043722;1;2;1644177958;
0043723;1;2;1644177958;
0043724;1;2;1644177959;
0043700;1;2;1644177960;
0025888;125;3;1644181885;
0042402;100;3;1644181890;
0042404;1;3;1644181776;
0042405;1;3;1644181777;
0042406;1;3;1644181777;
0042407;55;3;1644181895;
0042408;1;3;1644181778;
0042409;1;3;1644181779;
0042410;1;3;1644181779;
0042411;88;3;1644181900;
0042412;1;3;1644181780;
0042413;1;3;1644181780;
0042414;1;3;1644181781;
0042415;12;3;1644181907;
0042416;1;3;1644181781;
0042417;1;3;1644181782;
0042418;1;3;1644181782;
0042419;1;3;1644181782;
0042420;1;3;1644181782;
0042421;1;3;1644181783;
0042422;1;3;1644181783;
0042424;1;3;1644181783;
0042425;1;3;1644181783;
0042426;1;3;1644181784;
0042427;445;3;1644181913;
0042400;1;3;1644181785;
0025882;1;3;1644181794;
0014700;1;3;1644181798;
0014702;1;3;1644181799;
0014703;1;3;1644181799;
0014704;78;3;1644181919;
0014705;1;3;1644181800;
0014706;1;3;1644181801;
0014707;1;3;1644181801;
0014708;1;3;1644181801;
0014709;1;3;1644181801;
0014710;1;3;1644181802;
0014711;889;3;1644181933;
0014712;1;3;1644181802;
0014713;1;3;1644181802;
0014714;1;3;1644181802;
0014715;1;3;1644181803;
0014716;1;3;1644181804;
0014717;1;3;1644181804;
0014718;1;3;1644181805;
0014719;1;3;1644181805;
0014720;70;3;1644181938;
0014721;11;3;1644181942;
0014722;1;3;1644181806;
0014723;12;3;1644181948;
0014724;13;3;1644181952;
0014701;14;3;1644181956;
0040201;1;3;1644181819;
0040202;15;3;1644181962;
0040203;16;3;1644181966;
0040204;17;3;1644181970;
0040205;18;3;1644181976;
0040206;19;3;1644181980;
0040207;20;3;1644181985;
0040208;21;3;1644181990;
0040209;22;3;1644181995;
0040210;23;3;1644182000;
0040211;24;3;1644182006;
0040212;25;3;1644182011;
0040213;26;3;1644182020;
0040214;27;3;1644182025;
0040215;28;3;1644182029;
0040216;28;3;1644182035;
0040217;29;3;1644182039;
0040218;30;3;1644182055;
0040219;35;3;1644182059;
0040220;45;3;1644182064;
0040221;50;3;1644182069;
0040222;60;3;1644182074;
0040223;72;3;1644182079;
0040224;25;3;1644182099;
0040200;48;3;1644182103;
0031801;10;3;1644182110;
0031802;1;3;1644181839;
0031803;1;3;1644181839;
0031804;1;3;1644181840;
0031805;1;3;1644181840;
0031806;1;3;1644181841;
0031807;1;3;1644181841;
0031810;1;3;1644181842;
0031815;1;3;1644181842;
0031816;1;3;1644181843;
0031817;1;3;1644181843;
0031818;1;3;1644181843;
0031820;1;3;1644181844;
0031821;1;3;1644181844;
0031822;1;3;1644181844;
0031826;1;3;1644181844;
0031827;1;3;1644181845;
0031828;1;3;1644181846;
0031829;1;3;1644181846;
0031830;1;3;1644181847;
0031831;1;3;1644181847;
0031832;1;3;1644181848;
0031833;1;3;1644181848;
0031835;1;3;1644181849;
0031800;1;3;1644181852;
0040201;1;3;1644181856;
0040202;1;3;1644181857;
0040203;1;3;1644181857;
0040204;1;3;1644181857;
0040205;1;3;1644181857;
0040206;1;3;1644181858;
0040207;1;3;1644181858;
0040208;1;3;1644181858;
0040209;1;3;1644181858;
0040210;1;3;1644181859;
0040211;1;3;1644181859;
0040212;1;3;1644181859;
0040213;1;3;1644181859;
0040214;1;3;1644181860;
0040215;1;3;1644181860;
0040216;1;3;1644181860;
0040217;1;3;1644181861;
0040218;1;3;1644181861;
0040219;1;3;1644181861;
0040220;1;3;1644181862;
0040221;1;3;1644181862;
0040222;1;3;1644181862;
0040223;1;3;1644181862;
0040224;1;3;1644181863;
0040200;1;3;1644181864;
0040201;1;3;1644181870;
0040202;1;3;1644181870;
0040203;1;3;1644181871;
0040204;1;3;1644181871;
0040205;1;3;1644181871;
0040206;1;3;1644181871;
0040207;1;3;1644181872;
0040208;1;3;1644181872;
0040209;1;3;1644181872;
0040210;1;3;1644181872;
0040211;1;3;1644181873;
0040212;1;3;1644181873;
0040213;1;3;1644181873;
0040214;1;3;1644181873;
0040215;1;3;1644181874;
0040216;1;3;1644181874;
0040217;1;3;1644181874;
0040218;1;3;1644181874;
0040219;1;3;1644181874;
0040220;1;3;1644181875;
0040221;1;3;1644181875;
0040222;1;3;1644181875;
0040223;1;3;1644181875;
0040224;1;3;1644181876;
0040200;1;3;1644181877;
0089200;6;4;1644222161;
0089201;1;4;1644222177;
0089202;3;4;1644222194;
0069360;2;4;1644222215;
0089229;4;4;1644222235;
0089408;2;4;1644222256;
0089323;4;4;1644222271;
0086924;4;4;1644222286;
0089205;2;4;1644222301;
0089428;3;4;1644222323;
0089639;2;4;1644222334;
0087459;3;4;1644222349;
0087459;3;4;1644222373;
0089428;6;4;1644222393;
0086356;3;4;1644222408;
0089409;3;4;1644222426;
0089435;4;4;1644222442;
0089632;5;4;1644222468;
0089223;1;4;1644222484;
0089222;3;4;1644222500;
0090635;1;4;1644222513;
0069352;4;4;1644222532;
0086244;3;4;1644222546;
0086275;4;4;1644222560;
0086211;3;4;1644222573;
0069302;1;4;1644222583;
0069385;2;4;1644222597;
0086219;2;4;1644222606;
0081700;3;4;1644222618;
0089402;1;4;1644222626;
0089933;1;4;1644222637;
0067491;1;4;1644222649;
0089970;2;4;1644222671;
0089947;3;4;1644222687;
0089944;3;4;1644222715;
0089797;2;4;1644222727;
0089475;5;4;1644222744;
0089518;3;4;1644222755;
0067491;3;4;1644222767;
0067502;1;4;1644222776;
0089207;4;4;1644222788;
0089970;1;4;1644222796;
0089206;2;4;1644222806;
0089598;2;4;1644222816;
0089431;2;4;1644222840;
0041977;1;4;1644222868;
0089902;4;4;1644222881;
0069388;11;4;1644222904;
0089700;4;4;1644222918;
0086220;1;4;1644222927;
0089411;1;4;1644222938;
0089429;2;4;1644222949;
0089701;4;4;1644222969;
0089707;3;4;1644222993;
0090078;1;4;1644223003;
0041972;9;4;1644223019;
0089398;1;4;1644223028;
0089700;1;4;1644223034;
0041976;3;4;1644223045;
0086148;4;4;1644223086;
0069188;11;4;1644223114;
0089287;2;4;1644223130;
0089214;5;4;1644223152;
0089244;3;4;1644223165;
0086887;5;4;1644223188;
0043119;3;4;1644223199;
0089067;1;4;1644223221;
0086313;2;4;1644223234;
0086222;2;4;1644223245;
0089642;2;4;1644223379;
0089643;2;4;1644223392;
0089710;1;4;1644223404;
0089644;1;4;1644223414;
0086141;1;4;1644223442;
0086107;1;4;1644223458;
0086083;1;4;1644223489;
0087248;3;4;1644223509;
0089647;1;4;1644223527;
0089618;2;4;1644223536;
0089649;2;4;1644223549;
0089407;2;4;1644223563;
0089406;3;4;1644223577;
0066969;2;4;1644223588;
0089109;4;4;1644223619;
0086197;1;4;1644223639;
0086182;1;4;1644223646;
0069399;1;4;1644223662;
0089135;2;4;1644223670;
9105698;2;4;1644223683;
0069400;2;4;1644223696;
0090636;1;4;1644223717;
0041986;1;4;1644223726;
0069380;3;4;1644223749;
0040989;2;4;1644223788;
0070207;1;4;1644223802;
0086961;1;4;1644223817;
0089772;1;4;1644223826;
0041970;1;4;1644223865;
0089420;1;4;1644223884;
0067265;1;4;1644223898;
0089421;1;4;1644223904;
0067268;1;4;1644223910;
0086354;1;4;1644223929;
